SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0108837,1,31,95,2,1,1,16,0,0,0,0,6,1,2,1,04210,1019518
2023GQ0108884,1,64,19,1,9,21,14,0,0,4020,1,6,5,5,2,04221,1019518
2023GQ0108947,1,59,24,2,2,1,16,9240,60,3601,2,2,1,5,1,04305,1019518
2023GQ0109232,1,44,20,1,8,2,16,15800,0,0,0,6,3,5,1,04165,1019518
2023GQ0109262,1,4,63,1,1,1,24,7300,46,2040,2,1,1,5,1,04108,1019518
2023GQ0109271,1,14,72,2,2,1,1,13900,99,0,0,6,1,2,1,04411,1019518
2023GQ0109443,1,78,31,1,2,1,16,5400,34,0,0,6,1,1,1,04111,1019518
2023GQ0109473,1,60,18,2,9,24,16,0,0,0,0,6,4,5,2,04111,1019518
2023GQ0109477,1,63,19,2,9,24,18,4000,0,4055,1,1,1,5,1,04121,1019518
2023GQ0109650,1,120,32,2,9,3,13,17500,111,3645,1,1,1,5,1,04263,1019518
2023GQ0109665,1,109,31,1,9,3,19,40000,253,9142,1,3,1,5,1,04110,1019518
2023GQ0109714,1,72,20,2,6,1,19,5200,0,3421,1,2,1,5,1,04408,1019518
2023GQ0109716,1,77,61,1,2,1,21,24000,156,4110,1,1,1,5,1,04103,1019518
2023GQ0109790,1,10,20,1,2,1,14,15800,99,0,0,6,1,5,1,04303,1019518
2023GQ0109857,1,63,38,2,2,1,19,14800,96,0,0,6,1,4,1,04263,1019518
2023GQ0109921,1,17,34,1,6,1,1,2400,15,0,0,6,1,5,1,04501,1019518
2023GQ0110025,1,72,25,1,2,1,13,0,0,0,0,6,1,5,1,04307,1019518
2023GQ0110031,1,97,32,1,2,1,16,10100,66,0,0,6,1,5,1,04308,1019518
2023GQ0110052,1,69,36,1,1,17,21,100,0,4720,1,3,5,5,2,04304,1019518
2023GQ0110066,1,56,80,2,2,1,16,15100,0,0,0,6,1,2,1,04502,1019518
2023GQ0110069,1,29,76,1,6,1,11,0,0,0,0,6,4,5,2,04403,1019518
2023GQ0110103,1,8,35,1,8,24,14,15500,0,0,0,6,1,5,1,04303,1019518
2023GQ0110141,1,4,69,1,2,1,14,20000,142,0,0,6,1,5,1,04315,1019518
2023GQ0110243,1,68,19,2,2,1,16,3600,0,4760,1,6,1,5,1,04121,1019518
2023GQ0110265,1,59,21,1,6,1,19,5000,0,4622,2,1,1,5,1,04112,1019518
2023GQ0110386,1,10,57,2,9,3,1,16400,107,0,0,6,1,5,1,04209,1019518
2023GQ0110402,1,3,16,1,2,2,13,0,0,0,0,6,5,5,2,04411,1019518
2023GQ0110417,1,59,67,2,2,1,13,0,0,0,0,6,1,5,1,04107,1019518
2023GQ0110448,1,55,69,1,1,1,14,35100,0,0,0,6,1,5,1,04318,1019518
2023GQ0110458,1,31,18,2,6,1,16,2500,0,4720,2,1,5,5,2,04302,1019518
