SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0071281,1,,,2
2023GQ0071376,1,64,,3
2023GQ0071443,1,148,,3
2023GQ0071869,1,,,2
2023GQ0071895,1,,,2
2023GQ0072248,1,82,,3
2023GQ0072249,1,,,3
2023GQ0072720,1,,,3
2023GQ0072873,1,,,2
2023GQ0072908,1,,,2
2023GQ0073023,1,,,3
2023GQ0073046,1,,,3
2023GQ0073056,1,,,2
2023GQ0073150,1,,,2
2023GQ0073191,1,,,3
2023GQ0073229,1,,,3
2023GQ0073281,1,,,2
2023GQ0073325,1,,,3
2023GQ0073963,1,,,3
2023GQ0074124,1,,,3
2023GQ0074295,1,,,3
2023GQ0074354,1,0,,3
2023GQ0074387,1,,,2
2023GQ0074453,1,,,2
2023GQ0074479,1,,,3
2023GQ0074514,1,,,2
2023GQ0074893,1,,,2
2023GQ0074986,1,,,2
2023GQ0075051,1,,,2
2023GQ0075310,1,,,2
2023GQ0075552,1,0,,3
2023GQ0075840,1,70,,3
2023GQ0075874,1,,,2
2023GQ0076186,1,32,,3
2023GQ0076229,1,,,3
2023GQ0076258,1,,,2
2023GQ0076345,1,,,3
2023GQ0076393,1,,,2
2023GQ0076616,1,,,2
2023GQ0076692,1,,,2
2023GQ0076811,1,,,3
2023GQ0076872,1,,,2
2023GQ0076903,1,,,2
2023GQ0077037,1,,,3
2023GQ0077245,1,,,2
2023GQ0077266,1,77,,3
2023GQ0077518,1,,,3
2023GQ0077626,1,,,2
2023GQ0077711,1,,,3
2023GQ0078436,1,,,2
2023GQ0078511,1,,,2
2023GQ0078714,1,,,2
2023GQ0078791,1,,,2
2023GQ0078901,1,83,,3
2023GQ0079161,1,,,2
2023GQ0079327,1,,,3
2023GQ0079477,1,,,2
2023GQ0079689,1,16,,3
2023GQ0079703,1,,,2
2023GQ0080000,1,,,2
2023GQ0080002,1,55,,3
2023GQ0080335,1,189,,3
2023GQ0080696,1,,,2
2023GQ0080871,1,0,,3
2023GQ0080939,1,43,,3
2023GQ0081067,1,,,3
2023GQ0081119,1,,,3
2023GQ0081128,1,,,2
2023GQ0081226,1,,,3
2023GQ0081246,1,,,2
2023GQ0081260,1,,,2
2023GQ0081539,1,,,2
2023GQ0081592,1,,,3
2023GQ0081638,1,,,2
2023GQ0081650,1,,,2
2023GQ0081801,1,,,3
2023GQ0081902,1,67,,3
2023GQ0082460,1,,,2
2023GQ0082554,1,109,,3
2023GQ0082568,1,0,,3
2023GQ0082751,1,0,,3
2023GQ0082985,1,0,,3
2023GQ0083031,1,,,2
2023GQ0083126,1,,,2
2023GQ0083136,1,,,2
2023GQ0083215,1,,,2
2023GQ0083270,1,157,,3
2023GQ0083629,1,0,,3
2023GQ0083633,1,,,2
2023GQ0083848,1,,,2
2023GQ0083852,1,56,,3
2023GQ0083922,1,57,,3
2023GQ0084000,1,,,2
2023GQ0084059,1,,,3
2023GQ0084164,1,,,2
2023GQ0084181,1,,,2
2023GQ0084277,1,0,,3
2023GQ0084345,1,,,3
2023GQ0084419,1,,,3
2023GQ0084450,1,,,2
2023GQ0084455,1,,,3
2023GQ0084641,1,23,,3
2023GQ0084773,1,6,,3
2023GQ0084842,1,,,3
2023GQ0084944,1,,,2
2023GQ0085057,1,281,,3
2023GQ0085086,1,261,,3
2023GQ0085202,1,170,,3
2023GQ0085204,1,,,3
2023GQ0085256,1,,,2
2023GQ0085291,1,,,2
2023GQ0085354,1,,,3
2023GQ0085446,1,,,2
2023GQ0085491,1,55,,3
2023GQ0085660,1,,,2
2023GQ0085712,1,0,,3
2023GQ0085724,1,,,3
2023GQ0085739,1,,,2
2023GQ0086162,1,,,3
2023GQ0086270,1,,,3
2023GQ0086321,1,157,,3
2023GQ0086397,1,,,2
2023GQ0086539,1,,,2
2023GQ0086549,1,,,3
2023GQ0086648,1,,,2
2023GQ0086825,1,0,,3
2023GQ0086921,1,,,3
2023GQ0087067,1,,,3
2023GQ0087124,1,,,3
2023GQ0087185,1,,,2
2023GQ0087217,1,,,3
2023GQ0087307,1,16,,3
2023GQ0087488,1,222,,3
2023GQ0087634,1,,,3
2023GQ0087711,1,,,3
2023GQ0087714,1,,,3
2023GQ0087757,1,,,2
2023GQ0087774,1,6,,3
2023GQ0088063,1,67,,3
2023GQ0088180,1,,,2
2023GQ0088245,1,383,,3
2023GQ0088384,1,,,3
2023GQ0088431,1,145,,3
2023GQ0088505,1,,,3
2023GQ0088532,1,,,3
2023GQ0088671,1,,,3
2023GQ0088716,1,,,3
2023GQ0088718,1,,,2
2023GQ0088723,1,27,,3
2023GQ0088795,1,,,2
2023GQ0088997,1,,,3
2023GQ0089126,1,0,,3
2023GQ0089130,1,,,3
2023GQ0089158,1,,,2
2023GQ0089306,1,,,2
2023GQ0089365,1,,,2
2023GQ0089366,1,,,2
2023GQ0089435,1,,,2
2023GQ0089438,1,,,2
2023GQ0089824,1,,,2
2023GQ0090037,1,,,2
2023GQ0090054,1,,,2
2023GQ0090379,1,,,3
2023GQ0090405,1,,,2
2023GQ0090527,1,,,3
2023GQ0090775,1,0,,3
2023GQ0090822,1,,,3
2023GQ0090823,1,261,,3
2023GQ0091242,1,0,,3
2023GQ0091398,1,,,2
2023GQ0091434,1,,,3
2023GQ0091717,1,,,3
2023GQ0091905,1,,,2
2023GQ0091992,1,,,2
2023GQ0092079,1,,,2
2023GQ0092175,1,,,2
2023GQ0092257,1,,,2
2023GQ0092289,1,,,2
2023GQ0092490,1,,,3
2023GQ0092641,1,,,3
2023GQ0092664,1,38,,3
2023GQ0092670,1,,,3
2023GQ0092672,1,,,3
2023GQ0092767,1,,,2
2023GQ0092815,1,,,3
2023GQ0092953,1,,,2
2023GQ0093021,1,,,3
2023GQ0093108,1,,,3
2023GQ0093219,1,,,2
2023GQ0093442,1,41,,3
2023GQ0093483,1,127,,3
2023GQ0093664,1,195,,3
2023GQ0093772,1,0,,3
2023GQ0093825,1,,,2
2023GQ0093969,1,,,3
2023GQ0094079,1,,,3
2023GQ0094196,1,,,2
2023GQ0094232,1,,,3
2023GQ0094289,1,,,3
2023GQ0094445,1,,,2
2023GQ0094529,1,70,,3
2023GQ0094559,1,,,2
2023GQ0094728,1,56,,3
2023GQ0094920,1,,,2
2023GQ0095012,1,3,,3
2023GQ0095124,1,,,2
2023GQ0095260,1,,,2
2023GQ0095289,1,,,2
2023GQ0095391,1,,,2
2023GQ0095482,1,,,3
2023GQ0095671,1,,,2
2023GQ0095823,1,,,3
2023GQ0095850,1,,,2
2023GQ0096245,1,,,3
2023GQ0096309,1,455,,3
2023GQ0096414,1,56,,3
2023GQ0096416,1,,,3
2023GQ0096425,1,,,2
2023GQ0096431,1,,,2
2023GQ0096535,1,27,,3
2023GQ0096545,1,,,2
2023GQ0096576,1,,,2
2023GQ0096630,1,,,3
2023GQ0096876,1,,,3
2023GQ0097026,1,,,3
2023GQ0097477,1,70,,3
2023GQ0097479,1,,,3
2023GQ0097648,1,455,,3
2023GQ0097746,1,,,2
2023GQ0097812,1,,,2
2023GQ0098057,1,80,,3
2023GQ0098066,1,,,3
2023GQ0098691,1,,,3
2023GQ0098866,1,6,,3
2023GQ0098923,1,,,3
2023GQ0098982,1,16,,3
2023GQ0099046,1,,,2
2023GQ0099108,1,153,,3
2023GQ0099124,1,,,3
2023GQ0099180,1,339,,3
2023GQ0099263,1,,,2
2023GQ0099465,1,,,2
2023GQ0099485,1,,,2
2023GQ0099553,1,,,3
2023GQ0099608,1,127,,3
2023GQ0099626,1,,,3
2023GQ0099637,1,,,2
2023GQ0099784,1,,,3
2023GQ0099840,1,,,3
2023GQ0100032,1,,,2
2023GQ0100118,1,339,,3
2023GQ0100186,1,,,3
2023GQ0100285,1,,,2
2023GQ0100335,1,,,3
2023GQ0100398,1,,,2
2023GQ0100460,1,,,2
2023GQ0100525,1,,,2
2023GQ0100565,1,,,3
2023GQ0100618,1,,,2
2023GQ0100648,1,,,2
2023GQ0100917,1,,,3
2023GQ0101287,1,,,3
2023GQ0101510,1,70,,3
2023GQ0101613,1,333,,3
2023GQ0101695,1,,,2
2023GQ0101741,1,,,3
2023GQ0101751,1,283,,3
2023GQ0101788,1,15,,3
2023GQ0101792,1,,,3
2023GQ0101901,1,68,,3
2023GQ0101922,1,55,,3
2023GQ0102107,1,,,3
2023GQ0102271,1,,,2
2023GQ0102276,1,,,2
2023GQ0102464,1,,,3
2023GQ0102518,1,261,,3
2023GQ0102846,1,,,3
2023GQ0103057,1,,,3
2023GQ0103127,1,158,,3
2023GQ0103166,1,46,,3
2023GQ0103768,1,,,2
2023GQ0103815,1,281,,3
2023GQ0104161,1,,,3
2023GQ0104363,1,,,2
2023GQ0104805,1,,,3
2023GQ0104920,1,,,2
2023GQ0104929,1,153,,3
2023GQ0105049,1,,,2
2023GQ0105183,1,,,3
2023GQ0105260,1,0,,3
2023GQ0105416,1,64,,3
2023GQ0105460,1,22,,3
2023GQ0105486,1,,,3
