SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023HU0012689,1,69,3,1
2023HU0012705,1,501,3,1
2023HU0013409,1,19,3,1
2023HU0014620,1,501,1,1
2023HU0014620,2,501,1,1
2023HU0015128,1,358,3,1
2023HU0015128,2,358,3,1
2023HU0015128,3,358,3,1
2023HU0015128,4,358,3,1
2023HU0015128,5,358,3,1
2023HU0015431,1,319,3,1
2023HU0015619,1,501,3,1
2023HU0015663,1,501,2,1
2023HU0015663,2,501,2,1
2023HU0016281,1,402,2,1
2023HU0016281,2,9,2,1
2023HU0016281,3,402,2,1
2023HU0016281,4,402,2,1
2023HU0016281,5,402,2,1
2023HU0016281,6,402,2,1
2023HU0016281,7,402,2,1
2023HU0016281,8,402,2,1
2023HU0016281,9,402,2,1
2023HU0016417,1,492,1,1
2023HU0016417,2,492,1,1
2023HU0016417,3,492,1,1
2023HU0016417,4,492,1,1
2023HU0016787,1,501,2,1
2023HU0016787,2,501,2,1
2023HU0017064,1,321,3,1
2023HU0017064,2,501,3,1
2023HU0017064,3,501,3,1
2023HU0017629,1,501,3,1
2023HU0017629,2,289,3,1
2023HU0017629,3,501,3,1
2023HU0018127,1,501,1,1
2023HU0018127,2,501,1,1
2023HU0018139,1,501,2,1
2023HU0018139,2,501,2,1
2023HU0018233,1,501,1,1
2023HU0018233,2,501,1,1
2023HU0018252,1,115,3,1
2023HU0019179,1,501,1,1
2023HU0020292,1,168,2,1
2023HU0020292,2,168,2,1
2023HU0020292,3,168,2,1
2023HU0020292,4,168,2,1
2023HU0020292,5,168,2,1
2023HU0020724,1,477,3,1
2023HU0020943,1,501,3,1
2023HU0020943,2,501,3,1
2023HU0021088,1,501,2,1
2023HU0021088,2,501,2,1
2023HU0021088,3,501,2,1
2023HU0021088,4,501,2,1
2023HU0021088,5,501,2,1
2023HU0021260,1,89,1,1
2023HU0021260,2,89,1,1
2023HU0022083,1,501,1,1
2023HU0022083,2,501,1,1
2023HU0022825,1,466,3,1
2023HU0022825,2,501,3,1
2023HU0023571,1,501,3,1
2023HU0023571,2,501,3,1
2023HU0023678,1,338,4,1
2023HU0024120,1,303,3,1
2023HU0024120,2,193,3,1
2023HU0024821,1,501,2,1
2023HU0024821,2,501,2,1
2023HU0024821,3,501,2,1
